problem,has_bounds,init_source,n_runs,success_rate,success_any,best_nfev,median_nfev,best_time,median_time,best_f_final,fallback_rate
HS73,TRUE,llm_post,5,1,TRUE,8,8,0.009219781,0.009314609,0.016000066,0
HS73,TRUE,llm_raw,5,1,TRUE,7,8,0.008657917,0.009259434,0.014906975,0
HS73,TRUE,random_post,10,1,TRUE,8,8,0.009974792,0.011194016,0.015770173,0
HS73,TRUE,random_raw,10,1,TRUE,1,1,0.086205269,0.088043757,2.35E+21,0
HS75,TRUE,cutest,1,1,TRUE,6,6,0.013538497,0.013538497,0.001956156,0
HS75,TRUE,llm_post,5,1,TRUE,15,17,0.021249031,0.028092292,5.29E-05,0
HS75,TRUE,llm_raw,5,1,TRUE,6,8,0.008725141,0.011595467,0.000319976,0
HS75,TRUE,random_post,10,1,TRUE,15,17,0.018798446,0.024496202,5.02E-05,0
HS75,TRUE,random_raw,10,1,TRUE,12,13.5,0.01480008,0.017169175,5.54E-05,0
HS76,TRUE,cutest,1,1,TRUE,12,12,0.022394805,0.022394805,-5.249993599,0
HS76,TRUE,llm_post,5,1,TRUE,11,12,0.014633295,0.016542515,-5.249993599,0
HS76,TRUE,llm_raw,5,1,TRUE,11,12,0.016200481,0.016596418,-5.249993599,0
HS76,TRUE,random_post,10,1,TRUE,11,12.5,0.016560406,0.017885442,-5.24999872,0
HS76,TRUE,random_raw,10,1,TRUE,1,1,0.102772373,0.10496932,1.10E+39,0
HS76I,TRUE,cutest,1,1,TRUE,12,12,0.02097834,0.02097834,-5.249993599,0
HS76I,TRUE,llm_post,5,1,TRUE,12,12,0.015986516,0.016506035,-5.249993599,0
HS76I,TRUE,llm_raw,5,1,TRUE,12,12,0.016307021,0.016769041,-5.249993599,0
HS76I,TRUE,random_post,10,1,TRUE,12,13.5,0.01565391,0.019136043,-5.2499936,0
HS76I,TRUE,random_raw,10,1,TRUE,12,14,0.016466729,0.018335807,-5.24999872,0
HS77,FALSE,cutest,1,1,TRUE,38,38,0.051641404,0.051641404,2.11E-09,0
HS77,FALSE,llm_post,5,1,TRUE,36,37,0.042067256,0.057674163,1.11E-09,0
HS77,FALSE,llm_raw,5,1,TRUE,30,38,0.035475295,0.046329657,2.11E-09,0
HS77,FALSE,random_post,10,1,TRUE,1,1,0.10677031,0.109977883,3.36E+104,0
HS77,FALSE,random_raw,10,1,TRUE,1,1,0.106199211,0.108828374,3.62E+112,0
HS78,FALSE,cutest,1,0,FALSE,,,,,,0
HS78,FALSE,llm_post,5,0,FALSE,,,,,,0
HS78,FALSE,llm_raw,5,0,FALSE,,,,,,0
HS78,FALSE,random_post,10,1,TRUE,1,1,0.104392827,0.108152443,-7.19E+97,0
HS78,FALSE,random_raw,10,1,TRUE,1,1,0.105426114,0.110812599,-8.27E+98,0
HS79,FALSE,cutest,1,1,TRUE,38,38,0.05391561,0.05391561,8.04E-10,0
HS79,FALSE,llm_post,5,1,TRUE,31,40,0.035285434,0.045640855,4.63E-10,0
HS79,FALSE,llm_raw,5,1,TRUE,32,37,0.037776397,0.041490835,5.89E-10,0
HS79,FALSE,random_post,10,1,TRUE,1,1,0.10328416,0.107524588,2.50E+77,0
HS79,FALSE,random_raw,10,1,TRUE,1,1,0.105870529,0.110265404,1.33E+78,0
HS8,FALSE,cutest,1,1,TRUE,1,1,0.005427171,0.005427171,-1,0
HS8,FALSE,llm_post,5,1,TRUE,1,1,0.002172402,0.002291363,-1,0
HS8,FALSE,llm_raw,5,1,TRUE,1,1,0.001302505,0.002002415,-1,0
HS8,FALSE,random_post,10,1,TRUE,1,1,0.001570159,0.001643314,-1,0
HS8,FALSE,random_raw,10,1,TRUE,1,1,0.001129926,0.001280624,-1,0
HS83,TRUE,cutest,1,1,TRUE,12,12,0.023171905,0.023171905,-32217.43102,0
HS83,TRUE,llm_post,5,1,TRUE,14,14,0.019060001,0.020451421,-32217.43102,0
HS83,TRUE,llm_raw,5,1,TRUE,12,12,0.018060844,0.018279654,-32217.43102,0
HS83,TRUE,random_post,10,1,TRUE,13,14,0.019438056,0.021641465,-32217.43102,0
HS83,TRUE,random_raw,10,1,TRUE,13,14,0.017920815,0.020150428,-32217.43102,0
HS84,TRUE,cutest,1,1,TRUE,17,17,0.027403855,0.027403855,-1175336752,0
HS84,TRUE,llm_post,5,1,TRUE,17,17,0.017249674,0.017559463,-1175336752,0
HS84,TRUE,llm_raw,5,1,TRUE,17,17,0.016872998,0.017737603,-1175336752,0
HS84,TRUE,random_post,10,0.1,TRUE,136,136,0.123216114,0.123216114,-1175336752,0
HS84,TRUE,random_raw,10,0.3,TRUE,43,136,0.042831059,0.131061445,-1175336752,0
HS85,TRUE,cutest,1,1,TRUE,31,31,0.037997413,0.037997413,-3.002128348,0
HS85,TRUE,llm_post,5,1,TRUE,25,31,0.028922328,0.031210958,-3.002219023,0
HS85,TRUE,llm_raw,5,1,TRUE,25,31,0.027223738,0.032194536,-3.002219023,0
HS85,TRUE,random_post,10,1,TRUE,17,20.5,0.020476419,0.024441436,-3.002238523,0
HS85,TRUE,random_raw,10,1,TRUE,13,19.5,0.018607211,0.02279934,-3.002241013,0
HS87,TRUE,cutest,1,1,TRUE,17,17,0.032323561,0.032323561,1.28E-05,0
HS87,TRUE,llm_post,5,1,TRUE,17,17,0.022547063,0.028246718,1.28E-05,0
HS87,TRUE,llm_raw,5,1,TRUE,17,17,0.021431959,0.022109968,1.28E-05,0
HS87,TRUE,random_post,10,1,TRUE,14,16.5,0.019865387,0.023682295,1.28E-05,0
HS87,TRUE,random_raw,10,1,TRUE,14,22,0.017417021,0.026665942,1.30E-05,0
HS89,FALSE,cutest,1,1,TRUE,3,3,0.00749795,0.00749795,0,0
HS89,FALSE,llm_post,5,1,TRUE,3,3,0.004473044,0.004629299,0,0
HS89,FALSE,llm_raw,5,1,TRUE,3,3,0.002961199,0.00317876,0,0
HS89,FALSE,random_post,10,1,TRUE,1,1,0.103454065,0.108026702,4.83E+38,0
HS89,FALSE,random_raw,10,1,TRUE,1,1,0.102501142,0.105745151,4.83E+38,0
HS91,FALSE,cutest,1,1,TRUE,3,3,0.006887697,0.006887697,0,0
HS91,FALSE,llm_post,5,1,TRUE,3,3,0.004550068,0.004585876,0,0
HS91,FALSE,llm_raw,5,1,TRUE,3,3,0.002957142,0.003161682,0,0
HS91,FALSE,random_post,10,1,TRUE,1,1,0.104605021,0.105758237,4.04E+39,0
HS91,FALSE,random_raw,10,1,TRUE,1,1,0.103358941,0.106166621,4.04E+39,0
HS92,FALSE,cutest,1,1,TRUE,3,3,0.007162925,0.007162925,1.85E-32,0
HS92,FALSE,llm_post,5,1,TRUE,3,3,0.003852169,0.004681688,0,0
HS92,FALSE,llm_raw,5,1,TRUE,3,3,0.003067699,0.003582775,1.62E-32,0
HS92,FALSE,random_post,10,1,TRUE,1,1,0.106149197,0.10815935,5.51E+39,0
HS92,FALSE,random_raw,10,1,TRUE,1,1,0.106778853,0.108451661,5.51E+39,0
HS93,TRUE,cutest,1,1,TRUE,21,21,0.032142646,0.032142646,1.35E-05,0
HS93,TRUE,llm_post,5,1,TRUE,21,21,0.026411532,0.026533561,1.35E-05,0
HS93,TRUE,llm_raw,5,1,TRUE,21,21,0.025902799,0.026416081,1.35E-05,0
HS93,TRUE,random_post,10,1,TRUE,13,13,0.0178403,0.01892657,2.48E-06,0
HS93,TRUE,random_raw,10,1,TRUE,1,1,0.106118046,0.107752116,1.59E+96,0
HS95,TRUE,cutest,1,1,TRUE,10,10,0.021195649,0.021195649,0.023714221,0
HS95,TRUE,llm_post,5,1,TRUE,10,10,0.012291283,0.012798373,0.023435227,0
HS95,TRUE,llm_raw,5,1,TRUE,10,10,0.012413186,0.013221228,0.023713416,0
HS95,TRUE,random_post,10,1,TRUE,10,10,0.01251926,0.013146719,0.004814148,0
HS95,TRUE,random_raw,10,1,TRUE,10,10,0.01242167,0.013014351,0.004814148,0
HS99EXP,TRUE,cutest,1,1,TRUE,3,3,0.014149323,0.014149323,-2.18E-75,0
HS99EXP,TRUE,llm_post,5,0,FALSE,,,,,,0
HS99EXP,TRUE,llm_raw,5,1,TRUE,3,3,0.008422387,0.008514998,-2.18E-75,0
HS99EXP,TRUE,random_post,10,1,TRUE,1,1,0.120610907,0.125559433,-4.93E+39,0
HS99EXP,TRUE,random_raw,10,1,TRUE,1,1,0.120796985,0.124837928,-7.66E+39,0
HUMPS,FALSE,cutest,1,1,TRUE,234,234,0.032243912,0.032243912,5.03E-10,0
HUMPS,FALSE,llm_post,5,1,TRUE,26,197,0.000374639,0.002114967,1.36E-10,0
HUMPS,FALSE,llm_raw,5,1,TRUE,26,197,0.000405917,0.002037753,1.36E-10,0
HUMPS,FALSE,random_post,10,1,TRUE,78,243,0.000912995,0.002603765,8.80E-11,0
HUMPS,FALSE,random_raw,10,1,TRUE,78,243,0.001497429,0.003212994,8.80E-11,0
HYDROELS,TRUE,cutest,1,1,TRUE,37,37,1.764567095,1.764567095,-3762300.132,0
HYDROELS,TRUE,random_post,10,0,FALSE,,,,,,0
HYDROELS,TRUE,random_raw,10,0,FALSE,,,,,,0
HYPCIR,FALSE,cutest,1,1,TRUE,1,1,0.003999677,0.003999677,0,0
HYPCIR,FALSE,llm_post,5,1,TRUE,1,1,0.001353586,0.002197321,0,0
HYPCIR,FALSE,llm_raw,5,1,TRUE,1,1,0.001929058,0.002093814,0,0
HYPCIR,FALSE,random_post,10,1,TRUE,1,1,0.002055816,0.002188763,0,0
HYPCIR,FALSE,random_raw,10,1,TRUE,1,1,0.001141121,0.001204648,0,0
JENSMP,FALSE,cutest,1,1,TRUE,38,38,0.067404989,0.067404989,259.5801755,0
JENSMP,FALSE,llm_post,5,1,TRUE,3,26,0.000335955,0.001104064,124.3621824,0
JENSMP,FALSE,llm_raw,5,1,TRUE,3,26,0.00018554,0.000842284,124.3621824,0
JENSMP,FALSE,random_post,10,1,TRUE,1,38,0.000239693,0.001240326,259.5801755,0
JENSMP,FALSE,random_raw,10,1,TRUE,1,38,0.000224502,0.001325621,259.5801755,0.6
KOWOSB,FALSE,cutest,1,1,TRUE,32,32,0.107645403,0.107645403,0.000307801,0
KOWOSB,FALSE,llm_post,5,1,TRUE,31,32,0.001158517,0.001193738,0.000307801,0
KOWOSB,FALSE,llm_raw,5,1,TRUE,31,32,0.000696935,0.000784205,0.000307801,0
KOWOSB,FALSE,random_post,10,1,TRUE,8,15.5,0.000281357,0.000489774,0.005943953,0
KOWOSB,FALSE,random_raw,10,1,TRUE,8,15.5,0.000383983,0.00050003,0.005943953,0
LAKES,TRUE,cutest,1,1,TRUE,9,9,0.023845898,0.023845898,7.11E-16,0
LAKES,TRUE,llm_post,5,1,TRUE,9,9,0.018659852,0.021190244,2.42E-15,0
LAKES,TRUE,llm_raw,5,1,TRUE,9,9,0.017412058,0.017887814,7.11E-16,0
LAKES,TRUE,random_post,10,1,TRUE,1,1,0.175166748,0.179137069,1.68E+41,0
LAKES,TRUE,random_raw,10,1,TRUE,1,1,0.171981108,0.177349762,1.68E+41,0
LAUNCH,TRUE,cutest,1,1,TRUE,21,21,0.913312851,0.913312851,4.48E-06,0
LAUNCH,TRUE,llm_post,5,1,TRUE,29,29,0.826912156,0.843606956,4.47E-06,0
LAUNCH,TRUE,llm_raw,5,1,TRUE,18,18,0.82916257,0.834549496,4.48E-06,0
LAUNCH,TRUE,random_post,10,0.8,TRUE,1,14,0.834592653,0.860291913,1.98E-05,0
LAUNCH,TRUE,random_raw,10,1,TRUE,5,18.5,0.836208682,0.848418885,2.24E-05,0
LEAKNET,TRUE,cutest,1,1,TRUE,285,285,1.536771516,1.536771516,6.961226078,0
LEAKNET,TRUE,llm_post,1,1,TRUE,205,205,1.325067461,1.325067461,6.961226078,0
LEAKNET,TRUE,llm_raw,1,1,TRUE,177,177,1.303844001,1.303844001,6.961226078,0
LEAKNET,TRUE,random_post,10,1,TRUE,616,639,0.183645401,0.187557918,2.00E+18,0
LEAKNET,TRUE,random_raw,10,1,TRUE,318,395.5,0.174709615,0.180853929,1.27E+19,0
LOGHAIRY,FALSE,cutest,1,1,TRUE,192,192,0.106512845,0.106512845,0.182321557,0
LOGHAIRY,FALSE,llm_post,5,1,TRUE,192,259,0.002175157,0.00420627,0.182321557,0
LOGHAIRY,FALSE,llm_raw,5,1,TRUE,192,259,0.00214461,0.003030528,0.182321557,0
